"programa";"id_unidade";"sigla";"sigla_academica";"area_cnpq"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA CIVIL";"4845";"PEC";"PGEC      ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA DE PRODUÇÃO";"105";"PPGEP/CT";"PPGEP     ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"103";"PPGEEC/CT";"1427      ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA MECÂNICA";"104";"PPGEM/CT";"PPGEM     ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA MECATRÔNICA";"8086";"PPGEMECA";"EGM       ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA QUÍMICA";"106";"PPGEQ/CT";"PPGEQ     ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA SANITÁRIA E AMBIENTAL";"107";"PPGESA";"PPGES     ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENGENHARIA TÊXTIL";"10480";"PPgET";"PTX       ";"Engenharias"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE ARTES - REDE NACIONAL";"8871";"PROFARTES/CCHLA";"PFA       ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA";"9111";"PPECM";"PPECM     ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS E MATEMÁTICA";"9111";"PPECM";"PPECM     ";"Outra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE CIÊNCIAS NATURAIS E MATEMÁTICA";"134";"PPGECNM/CCET";"PPGECNM   ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO DE HISTÓRIA - REDE NACIONAL";"9395";"PPGEH";"PPGEH     ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ENSINO NA SAÚDE";"7267";"MPEENSA";"MPEENSA   ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA LINGUAGEM";"65";"PPGEL/CCHLA";"PPGEL     ";"Linguística, Letras e Artes"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS DA MÍDIA";"4893";"PPGEM";"PPGEM     ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM ESTUDOS URBANOS E REGIONAIS";"5254";"PPEUR";"PPEU      ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FILOSOFIA";"364";"PPGFIL/CCHLA";"MET       ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FÍSICA";"388";"PPGFIS/CCET";"PPGFIS    ";"Ciências Exatas e da Terra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FISIOTERAPIA";"4072";"PPGFST";"PPGFST    ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM FONOAUDIOLOGIA";"10490";"PPgFono";"PGF       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEODINÂMICA E GEOFÍSICA";"325";"PPGG/CCET";"PPGG      ";"Outra"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA";"315";"PPGE/CCHLA";"PPGE      ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - CERES";"30030";"GEOCERES";"GEC       ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GEOGRAFIA - GEOPROF - CERES";"9110";"GEOPROF";"GEOPROF   ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA INFORMAÇÃO E DO CONHECIMENTO";"9196";"PPGIC";"GIC       ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DA QUALIDADE EM SERVIÇOS DE SAÚDE";"8084";"Qualisaúde";"PGS       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO DE PROCESSOS INSTITUCIONAIS";"7513";"PPGGPI/CCHLA";"GPI       ";"Ciências Humanas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO E INOVAÇÃO EM SAÚDE";"10482";"PPgGIS";"GIS       ";"Ciências da Saúde"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO PÚBLICA";"5679";"PPGP";"PPGP      ";"Ciências Sociais Aplicadas"
"PROGRAMA DE PÓS-GRADUAÇÃO EM GESTÃO, TRABALHO, EDUCAÇÃO E SAÚDE";"11656";"MPGTES";"MPGTES    ";"Ciências da Saúde"
